"","Year","Month","Rain","Site","Spring"
"1","1996","1",35,"Ararat",0
"2","1996","2",51.4,"Ararat",0
"3","1996","3",38,"Ararat",0
"4","1996","4",33.4,"Ararat",0
"5","1996","5",11.8,"Ararat",0
"6","1996","6",108.4,"Ararat",0
"7","1996","7",80.2,"Ararat",1
"8","1996","8",81.4,"Ararat",1
"9","1996","9",84.2,"Ararat",1
"10","1996","10",30,"Ararat",1
"11","1996","11",30,"Ararat",1
"12","1996","12",20.8,"Ararat",1
"13","1997","1",47.2,"Ararat",0
"14","1997","2",11.4,"Ararat",0
"15","1997","3",10.4,"Ararat",0
"16","1997","4",8.4,"Ararat",0
"17","1997","5",49.8,"Ararat",0
"18","1997","6",29.8,"Ararat",0
"19","1997","7",28,"Ararat",1
"20","1997","8",58.4,"Ararat",1
"21","1997","9",104.4,"Ararat",1
"22","1997","10",50.4,"Ararat",1
"23","1997","11",53.8,"Ararat",1
"24","1997","12",2,"Ararat",1
"25","1998","1",24.2,"Ararat",0
"26","1998","2",36.2,"Ararat",0
"27","1998","3",6.8,"Ararat",0
"28","1998","4",84,"Ararat",0
"29","1998","5",20.4,"Ararat",0
"30","1998","6",66,"Ararat",0
"31","1998","7",83.2,"Ararat",1
"32","1998","8",24,"Ararat",1
"33","1998","9",46.8,"Ararat",1
"34","1998","10",68,"Ararat",1
"35","1998","11",65,"Ararat",1
"36","1998","12",24.4,"Ararat",1
"37","1999","1",12,"Ararat",0
"38","1999","2",53.2,"Ararat",0
"39","1999","3",37.6,"Ararat",0
"40","1999","4",3.6,"Ararat",0
"41","1999","5",55.2,"Ararat",0
"42","1999","6",59,"Ararat",0
"43","1999","7",23,"Ararat",1
"44","1999","8",90.4,"Ararat",1
"45","1999","9",33,"Ararat",1
"46","1999","10",50.2,"Ararat",1
"47","1999","11",58.6,"Ararat",1
"48","1999","12",60.2,"Ararat",1
"49","2000","1",18.4,"Ararat",0
"50","2000","2",22.8,"Ararat",0
"51","2000","3",8.6,"Ararat",0
"52","2000","4",72,"Ararat",0
"53","2000","5",65,"Ararat",0
"54","2000","6",39,"Ararat",0
"55","2000","7",67.8,"Ararat",1
"56","2000","8",38.2,"Ararat",1
"57","2000","9",61.4,"Ararat",1
"58","2000","10",73.2,"Ararat",1
"59","2000","11",55.8,"Ararat",1
"60","2000","12",28.8,"Ararat",1
"61","2001","1",57.8,"Ararat",0
"62","2001","2",29.4,"Ararat",0
"63","2001","3",72.6,"Ararat",0
"64","2001","4",34.8,"Ararat",0
"65","2001","5",20.4,"Ararat",0
"66","2001","6",71,"Ararat",0
"67","2001","7",29.2,"Ararat",1
"68","2001","8",126.6,"Ararat",1
"69","2001","9",71.2,"Ararat",1
"70","2001","10",63.4,"Ararat",1
"71","2001","11",52.2,"Ararat",1
"72","2001","12",32.4,"Ararat",1
"73","2002","1",19.2,"Ararat",0
"74","2002","2",40.6,"Ararat",0
"75","2002","3",7.4,"Ararat",0
"76","2002","4",27,"Ararat",0
"77","2002","5",44,"Ararat",0
"78","2002","6",40.6,"Ararat",0
"79","2002","7",43.8,"Ararat",1
"80","2002","8",45.4,"Ararat",1
"81","2002","9",43,"Ararat",1
"82","2002","10",42.8,"Ararat",1
"83","2002","11",34,"Ararat",1
"84","2002","12",50.4,"Ararat",1
"85","2003","1",10,"Ararat",0
"86","2003","2",23.8,"Ararat",0
"87","2003","3",16.4,"Ararat",0
"88","2003","4",25.4,"Ararat",0
"89","2003","5",47,"Ararat",0
"90","2003","6",57.4,"Ararat",0
"91","2003","7",60.8,"Ararat",1
"92","2003","8",90.2,"Ararat",1
"93","2003","9",34.6,"Ararat",1
"94","2003","10",71,"Ararat",1
"95","2003","11",29.8,"Ararat",1
"96","2003","12",28,"Ararat",1
"97","2004","1",16.8,"Ararat",0
"98","2004","2",6.6,"Ararat",0
"99","2004","3",24.8,"Ararat",0
"100","2004","4",18.2,"Ararat",0
"101","2004","5",33,"Ararat",0
"102","2004","6",78.2,"Ararat",0
"103","2004","7",47.8,"Ararat",1
"104","2004","8",60.4,"Ararat",1
"105","2004","9",56.4,"Ararat",1
"106","2004","10",19.6,"Ararat",1
"107","2004","11",50,"Ararat",1
"108","2004","12",45.2,"Ararat",1
"109","2005","1",39.2,"Ararat",0
"110","2005","2",81,"Ararat",0
"111","2005","3",5.4,"Ararat",0
"112","2005","4",14.6,"Ararat",0
"113","2005","5",13.4,"Ararat",0
"114","2005","6",81.8,"Ararat",0
"115","2005","7",34.8,"Ararat",1
"116","2005","8",74.2,"Ararat",1
"117","2005","9",48.4,"Ararat",1
"118","2005","10",61.4,"Ararat",1
"119","2005","11",44.2,"Ararat",1
"120","2005","12",26.2,"Ararat",1
"121","2006","1",44,"Ararat",0
"122","2006","2",29.4,"Ararat",0
"123","2006","3",5.8,"Ararat",0
"124","2006","4",43.2,"Ararat",0
"125","2006","5",30.8,"Ararat",0
"126","2006","6",20.8,"Ararat",0
