"","1996--0","1996--1","1997--0","1997--1","1998--0","1998--1","1999--0","1999--1","2000--0","2000--1","2001--0","2001--1","2002--0","2002--1","2003--0","2003--1","2004--0","2004--1","2005--0","2005--1","2006--0","2006--1","2007--0","2007--1","2008--0","2008--1","2009--0","2009--1","2010--0","2010--1","2011--0","2011--1","2012--0","2012--1","2013--0","2013--1","2014--0","2014--1","2015--0","2015--1","2016--0","2016--1"
"Ararat",278,326.6,157,297,237.6,311.4,220.6,315.4,225.8,325.2,286,375,178.8,259.4,180,314.4,177.6,279.4,235.4,289.2,174,166.2,310.2,279.8,169.2,262.8,169.8,354.9,253.5,556.8,385.6,266.9,215.3,288.1,140,299.3,204.4,199.5,237.8,208.7,313.6,51.4
"Avalon",175.2,265.8,85.6,205.8,209.6,188,233,222.8,187.8,174.6,266.2,233.4,157.8,136.2,143.8,276.8,183,321.6,268.4,234.8,163.4,119.2,175.2,287.8,123.2,194.4,99.4,282.6,174,384,356.8,339.2,288.6,246,171.6,263.2,196.8,0,0,0,0,54.8
"Beechworth",407.2,391.2,176.8,211.8,196,537.4,386,439.6,295.8,448.2,284.8,300.4,231.2,165.8,214.4,574,163,428.8,379,489.8,142.2,136.2,284.2,211.2,181.4,301.8,188.8,320.4,399.2,637.4,448.2,450.3,442.8,293.4,241.4,340.2,383.4,253,333,315.2,418,52.4
"BlackRange",290.8,286.6,142.4,231.8,222.7,244.6,217.2,342.2,192.4,273,149.4,269.8,119.8,140,168,276,141.4,231.2,173.4,261,122,142.6,268.8,213.2,104,230.6,135,317.2,257.2,536.8,391,275.6,194.2,167.8,126.8,269.2,178,148.9,213.2,207.6,339.2,46.4
"Chatsworth",211,305,142.4,259.2,200,327.6,263.6,282.6,200.4,327.1,238.3,452.2,214.4,273.8,226.2,342.8,259.8,330.6,222.2,252.2,176.4,160.8,239.2,370.4,160,355.3,171.8,354.6,252.9,548.8,367.8,250.4,204,273.4,189,319.7,247.2,186,259.8,227.4,317.4,NA
"Cowangie",152.4,179.8,92.8,166.2,164.8,205.8,135.2,209.4,199.6,184.8,83,175.6,89.2,84.2,144.2,180,74.8,225.4,116.6,177.6,109.8,85.4,232,113.4,114.2,146.6,112.6,220.2,141.2,342.8,263,205.4,100.4,90.7,143,143.4,236.6,126.1,130.9,114,129,NA
"Dunluce",290.8,286.6,142.4,231.8,222.7,244.6,217.2,342.2,192.4,273,149.4,186.4,119.8,140,168,276,141.4,231.2,173.4,261,122,142.6,268.8,213.2,104,230.6,135,317.2,257.2,536.8,391,275.6,194.2,167.8,126.8,269.2,178,148.9,213.2,207.6,339.2,NA
"Euroa",484,618.4,284.4,321.6,289,469.6,379.8,471.4,320.8,591.8,320,386.2,256.2,237.2,347.8,479.8,206.2,496.4,314.8,528.4,238.6,182.6,347,363.8,251.6,413.4,224,390.2,519.2,719.6,448,408.8,493.6,318.6,256,496,420,263.4,291.2,290.5,409.2,NA
"Harcourt",389.2,407.8,200.4,310,228.4,338.4,282.6,371.6,368.6,434,186.8,288.8,234.8,187.8,266.6,319.5,200.8,347,270.2,389.2,186.4,250.8,375.3,267.2,160.4,330.2,151.2,409.7,405.4,718,493.8,353,362,246.2,184.4,372.7,259.4,214,179.7,202.9,304.9,NA
"Ingliston",359.2,313,157.4,291.8,215.4,454,242.2,349.2,262,458.4,302.8,364.6,219.6,220,200.9,352,206.8,454.3,277.6,282.8,215.6,210.4,312.6,350.4,166,305.4,136,390.5,257.2,499.2,449.2,365,363,275,226,358.8,266.6,321.4,271.6,192.2,189.8,NA
