"MonitorSite","RippedDate"
"Ararat",2002-07-15
"Beechworth",2002-08-08
"Black Range",2000-05-02
"Chatsworth",1999-08-09
"Cowangie",1999-11-15
"Dunluce",2025-01-01
"Euroa",2002-10-31
"Harcourt",1999-06-17
"Ingliston",2012-05-22
"Lancefield",1997-07-02
"Landsborough",2002-05-16
"Manangatang",2005-04-01
"Pentland Hills",2002-08-05
"Piambie",1999-02-24
"Rowsley",2025-01-01
"Skipton",2000-12-07
"Spring Hill",2025-01-01
"Swifts Creek",2000-06-01
"Telopea Downs",2002-05-01
"Yambuk",2002-08-02
"Yarram",2002-07-06
